Account Name,Date&Time,Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
Rollover IRA *5513,,05/26/2026,09:37:35,TXN,Buy,15.0,320.56,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:38:56,TXN,Buy,5.0,320.56,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:40:05,TXN,Buy,10.0,322.0,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:43:17,TXN,Buy,10.0,323.045,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:46:18,TXN,Sell,30.0,322.8433,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:47:19,TXN,Buy,40.0,322.97,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:51:14,SLB,Buy,100.0,58.5,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:51:58,SLB,Sell,100.0,57.99,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:54:07,PCT,Buy,100.0,12.47,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,09:59:22,HIMX,Buy,100.0,22.375,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:00:02,HIMX,Sell,100.0,21.84,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:04:07,SATL,Buy,100.0,11.91,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:04:26,SATL,Sell,100.0,11.51,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:08:30,SATL,Buy,100.0,11.93,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:10:13,PL,Buy,50.0,50.64,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:14:40,FSLR,Buy,50.0,268.245,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:16:25,FSLR,Sell,50.0,267.06,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:16:36,TXN,Buy,10.0,324.92,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:21:27,PL,Sell,50.0,50.0501,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:25:13,MU,Buy,10.0,875.0,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,10:28:34,MU,Buy,10.0,878.34,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,11:02:35,TXN,Sell,50.0,324.64,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,11:07:26,TXN,Sell,10.0,323.46,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,11:08:58,ASST,Buy,250.0,19.3663,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,11:20:11,KLAR,Buy,150.0,17.325,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,11:28:49,AMPX,Buy,150.0,17.915,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,11:32:21,ASST,Sell,250.0,19.015,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,12:06:37,MU,Buy,10.0,877.5,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,12:36:29,SATL,Sell,100.0,11.275,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,12:41:03,MU,Sell,20.0,884.475,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,12:43:23,MU,Sell,10.0,882.47,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,13:33:12,PCT,Sell,100.0,12.16,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,13:38:56,KLAR,Sell,150.0,17.12,Stock,,,,0,0
Rollover IRA *5513,,05/26/2026,14:59:00,AMPX,Sell,150.0,17.5301,Stock,,,,0,0
