"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ADTN","ADTRAN Holdings Inc","Technology","Communication Equipment","USA",1422.71,,17.63,3.95%,2703143
2,"ADV","Advantage Solutions Inc","Communication Services","Advertising Agencies","USA",442.27,,33.76,10.00%,109397
3,"AESI","Atlas Energy Solutions Inc","Energy","Oil & Gas Equipment & Services","USA",1724.41,,13.81,3.91%,3884834
4,"AGCC","Agencia Comercial Spirits Ltd","Consumer Defensive","Beverages - Wineries & Distilleries","Taiwan",640.77,855.05,18.64,-1.22%,162690
5,"AIP","Arteris Inc","Technology","Semiconductors","USA",1028.92,,22.63,2.26%,594738
6,"AMAL","Amalgamated Financial Corp","Financial","Banks - Regional","USA",1301.47,12.76,43.60,0.23%,136834
7,"AMLX","Amylyx Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",1942.14,,17.57,-4.30%,769971
8,"AMSC","American Superconductor Corp","Industrials","Specialty Industrial Machinery","USA",1939.25,13.90,40.73,2.54%,690777
9,"ANL","Adlai Nortye Ltd ADR","Healthcare","Biotechnology","China",570.04,,16.60,3.69%,842992
10,"ANRO","Alto Neuroscience Inc","Healthcare","Biotechnology","USA",873.07,,27.33,-1.41%,334929
11,"AOSL","Alpha & Omega Semiconductor Ltd","Technology","Semiconductors","USA",1187.46,,39.90,17.77%,2481380
12,"ARMP","Armata Pharmaceuticals Inc","Healthcare","Biotechnology","USA",457.91,,12.50,8.70%,82475
13,"ARTV","Artiva Biotherapeutics Inc","Healthcare","Biotechnology","USA",330.95,,13.39,6.69%,640786
14,"ASC","Ardmore Shipping Corp","Industrials","Marine Shipping","Bermuda",647.94,17.93,15.88,-0.06%,582303
15,"ASIX","AdvanSix Inc","Basic Materials","Chemicals","USA",597.92,12.32,22.25,3.15%,324829
16,"ATEN","A10 Networks Inc","Technology","Software - Infrastructure","USA",1952.33,47.43,27.22,-1.20%,1409319
17,"ATEX","Anterix Inc","Communication Services","Telecom Services","USA",798.02,9.80,42.60,0.97%,351888
18,"ATNI","ATN International Inc","Communication Services","Telecom Services","USA",434.14,,28.25,0.07%,85100
19,"AVBC","Avidia Bancorp Inc","Financial","Banks - Regional","USA",426.82,,21.26,0.76%,51034
20,"AVBP","ArriVent BioPharma Inc","Healthcare","Biotechnology","USA",1387.49,,31.39,5.90%,622220
21,"AVNS","Avanos Medical Inc","Healthcare","Medical Devices","USA",1150.05,,24.64,0.08%,879013
22,"AXGN","Axogen Inc","Healthcare","Medical Devices","USA",1932.15,,37.23,-3.30%,1172559
23,"BAND","Bandwidth Inc","Technology","Software - Infrastructure","USA",757.36,,24.13,4.87%,993351
24,"BCAX","Bicara Therapeutics Inc","Healthcare","Biotechnology","USA",1536.52,,23.47,-2.25%,353573
25,"BETR","Better Home & Finance Holding Co","Financial","Mortgage Finance","USA",881.71,,47.48,15.16%,975813
26,"BKSY","BlackSky Technology Inc","Industrials","Specialty Business Services","USA",1388.62,,37.42,-0.40%,1474695
27,"BNED","Barnes & Noble Education Inc","Consumer Cyclical","Specialty Retail","USA",376.22,,10.97,-1.08%,336885
28,"BVS","Bioventus Inc","Healthcare","Medical Devices","USA",854.83,31.37,10.28,-2.28%,401555
29,"BWAY","Brainsway Ltd ADR","Healthcare","Medical Devices","Israel",627.67,84.08,15.68,-0.82%,121296
30,"CAPR","Capricor Therapeutics Inc","Healthcare","Biotechnology","USA",1967.44,,34.21,-1.41%,1038063
31,"CBIO","Crescent Biopharma Inc","Healthcare","Biotechnology","USA",597.71,,21.69,1.93%,161883
32,"CBL","CBL & Associates Properties Inc","Real Estate","REIT - Retail","USA",1362.94,10.28,44.00,0.32%,103955
33,"CCSI","Consensus Cloud Solutions Inc","Technology","Software - Infrastructure","USA",536.26,6.54,28.42,3.08%,120715
34,"CGEM","Cullinan Therapeutics Inc","Healthcare","Biotechnology","USA",878.84,,14.52,-3.59%,645227
35,"CNL","Collective Mining Ltd","Basic Materials","Gold","Canada",1793.14,,20.79,1.91%,64499
36,"CODI","Compass Diversified Holdings","Industrials","Conglomerates","USA",862.20,,11.46,9.04%,2819017
37,"CRVS","Corvus Pharmaceuticals Inc","Healthcare","Biotechnology","USA",1305.24,,15.54,-7.17%,1246444
38,"CVEO","Civeo Corp","Consumer Cyclical","Lodging","USA",337.05,,30.78,1.99%,109820
39,"CVLG","Covenant Logistics Group Inc","Industrials","Trucking","USA",780.08,145.53,31.10,2.00%,244136
40,"DCOM","Dime Community Bancshares Inc","Financial","Banks - Regional","USA",1636.81,15.89,37.28,0.54%,465534
41,"DEC","Diversified Energy Co","Energy","Oil & Gas Integrated","USA",1100.22,,15.31,0.66%,749063
