"Orders 
Rollover IRA *5513 
as of 06/08/2026 at 11:11:55 AM"

Symbol,Action,Amount,Order Type,Status,Filled,Last,$ Chg,% Chg,Bid,Mid,Ask,TIF,Conditions,Destination,Order Time,Account,Account Type,Quantity Type,Market Session,Trail Amount,Order Number,CUSIP,Security Description,Basket
STM,Sell,100,Market,Filled at $76.475,100 / 100,76.4871,5.7671,8.15,76.47,--,76.49,Day,None,FDLM,11:11:43 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0ZZHB,861012102,STMICROELECTRONICS SPON ADR EACH REP 1 ORD SHS,--
GLXY,Sell,70,Market,Filled at $30.47,70 / 70,30.36,5.22,20.76,30.34,--,30.38,Day,None,FDLM,11:11:29 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0X9L1,36317J209,GALAXY DIGITAL INC. CL A,--
MRVL,Sell,15,Stop loss at $298.00,Filled at $298.00,15 / 15,298.7002,35.2302,13.37,298.7,--,298.86,Day,None,"G1 EXECUTION SERVICES, LLC",11:08:49 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0WLJF,573874104,MARVELL TECHNOLOGY INC COM,--
GLXY,Sell,130,Trailing Stop Loss at $0.40 Based on Last,Filled at $30.025,130 / 130,30.36,5.22,20.76,30.34,--,30.38,Day,None,FDLM,11:04:07 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,$0.40,F08DZNML,36317J209,GALAXY DIGITAL INC. CL A,--
MRVL,Sell,30,Market,Filled at $297.85,30 / 30,298.7002,35.2302,13.37,298.7,--,298.86,Day,None,FDLM,11:03:42 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J117CF,573874104,MARVELL TECHNOLOGY INC COM,--
STM,Buy,50,Limit at $76.50,Filled at $76.20,50 / 50,76.4871,5.7671,8.15,76.47,--,76.49,Day,None,FDLM,10:59:35 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0YJ91,861012102,STMICROELECTRONICS SPON ADR EACH REP 1 ORD SHS,--
STM,Buy,50,Limit at $77.00,Filled at $76.2299,50 / 50,76.4871,5.7671,8.15,76.47,--,76.49,Day,None,FDLM,10:58:53 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0THDH,861012102,STMICROELECTRONICS SPON ADR EACH REP 1 ORD SHS,--
MRVL,Buy,25,Limit at $303.00,Filled at $301.875,25 / 25,298.7002,35.2302,13.37,298.7,--,298.86,Day,None,FDLM,10:52:29 AM ET Jun-08-2026,Rollover IRA *5513,Cash,Shares,Standard,--,17J0YFWZ,573874104,MARVELL TECHNOLOGY INC COM,--
