"Orders 
Rollover IRA *5513 
as of 06/10/2026 at 03:03:24 PM"

Symbol,Action,Amount,Order Type,Status,Filled,Last,$ Chg,% Chg,Bid,Mid,Ask,TIF,Conditions,Destination,Order Time,Account,Account Type,Quantity Type,Market Session,Trail Amount,Order Number,CUSIP,Security Description,Basket
DVN,Sell,100,Trailing Stop Limit at $0.25 Based on Last,Filled at $46.93,100 / 100,46.685,2.615,5.93,46.68,--,46.69,Day,None,FDLM,12:22:31 PM ET Jun-10-2026,Rollover IRA *5513,Cash,Shares,Standard,$0.25,F10FQNGK,25179M103,DEVON ENERGY CORP NEW,--
DVN,Buy,100,Limit at $47.50,Filled at $47.125,100 / 100,46.685,2.615,5.93,46.68,--,46.69,Day,None,FDLM,11:53:25 AM ET Jun-10-2026,Rollover IRA *5513,Cash,Shares,Standard,--,1811FGG2,25179M103,DEVON ENERGY CORP NEW,--
XLP,Sell,400,Stop loss at $85.25,Filled at $85.25,400 / 400,85.325,1.225,1.46,85.32,--,85.33,Day,None,"G1 EXECUTION SERVICES, LLC",11:46:31 AM ET Jun-10-2026,Rollover IRA *5513,Cash,Shares,Standard,--,18115BZ0,81369Y308,SELECT SECTOR SPDR TRUST STATE STREET CONSUMER STAPLES SELECT SECTOR SPDR ETF,--
DVN,Sell,200,Stop loss at $46.70,Filled at $46.695,200 / 200,46.685,2.615,5.93,46.68,--,46.69,Day,None,"CITADEL DERIVATIVES GROUP, L.L.C.",11:41:44 AM ET Jun-10-2026,Rollover IRA *5513,Cash,Shares,Standard,--,181159SQ,25179M103,DEVON ENERGY CORP NEW,--
XLP,Buy,100,Limit at $86.00,Filled at $85.54,100 / 100,85.325,1.225,1.46,85.32,--,85.33,Day,None,FDLM,11:32:53 AM ET Jun-10-2026,Rollover IRA *5513,Cash,Shares,Standard,--,1810YJGT,81369Y308,SELECT SECTOR SPDR TRUST STATE STREET CONSUMER STAPLES SELECT SECTOR SPDR ETF,--
XLP,Buy,100,Limit at $86.00,Filled at $85.54,100 / 100,85.325,1.225,1.46,85.32,--,85.33,Day,None,FDLM,11:31:57 AM ET Jun-10-2026,Rollover IRA *5513,Cash,Shares,Standard,--,1810THC0,81369Y308,SELECT SECTOR SPDR TRUST STATE STREET CONSUMER STAPLES SELECT SECTOR SPDR ETF,--
DVN,Buy,100,Limit at $47.00,Filled at $46.8199,100 / 100,46.685,2.615,5.93,46.68,--,46.69,Day,None,FDLM,11:29:17 AM ET Jun-10-2026,Rollover IRA *5513,Cash,Shares,Standard,--,1810V48Z,25179M103,DEVON ENERGY CORP NEW,--
DVN,Buy,100,Limit at $47.00,Filled at $46.82,100 / 100,46.685,2.615,5.93,46.68,--,46.69,Day,None,FDLM,11:28:14 AM ET Jun-10-2026,Rollover IRA *5513,Cash,Shares,Standard,--,1810S3SY,25179M103,DEVON ENERGY CORP NEW,--
