"Orders 
Rollover IRA *5513 
as of 06/22/2026 at 12:07:11 PM"

Symbol,Action,Amount,Order Type,Status,Filled,Last,$ Chg,% Chg,Bid,Mid,Ask,TIF,Conditions,Destination,Order Time,Account,Account Type,Quantity Type,Market Session,Trail Amount,Order Number,CUSIP,Security Description,Basket
ENTG,Sell,50,Stop loss at $183.95,Filled at $183.85,50 / 50,183.36,4.59,2.57,183.07,--,183.59,Day,None,VIRTU AMERICAS LLC,11:55:43 AM ET Jun-22-2026,Rollover IRA *5513,Cash,Shares,Standard,--,18D12H8Q,29362U104,ENTEGRIS INC,--
SWKS,Sell,200,Stop loss at $77.95,Filled at $77.91,200 / 200,77.65,5.20,7.18,77.6,--,77.71,Day,None,"CITADEL DERIVATIVES GROUP, L.L.C.",11:46:58 AM ET Jun-22-2026,Rollover IRA *5513,Cash,Shares,Standard,--,18D132W2,83088M102,SKYWORKS SOLUTIONS INC,--
SWKS,Buy,50,Limit at $80.00,Filled at $79.11,50 / 50,77.65,5.20,7.18,77.6,--,77.71,Day,None,FDLM,11:46:40 AM ET Jun-22-2026,Rollover IRA *5513,Cash,Shares,Standard,--,18D1BFWX,83088M102,SKYWORKS SOLUTIONS INC,--
SWKS,Buy,50,Limit at $79.00,Filled at $78.86,50 / 50,77.65,5.20,7.18,77.6,--,77.71,Day,None,FDLM,11:44:56 AM ET Jun-22-2026,Rollover IRA *5513,Cash,Shares,Standard,--,18D17RH1,83088M102,SKYWORKS SOLUTIONS INC,--
ENTG,Buy,50,Limit at $187.00,Filled at $186.105,50 / 50,183.36,4.59,2.57,183.07,--,183.59,Day,None,FDLM,11:43:06 AM ET Jun-22-2026,Rollover IRA *5513,Cash,Shares,Standard,--,18D1DF8D,29362U104,ENTEGRIS INC,--
SWKS,Buy,100,Limit at $79.00,Filled at $78.515,100 / 100,77.65,5.20,7.18,77.6,--,77.71,Day,None,FDLM,11:38:04 AM ET Jun-22-2026,Rollover IRA *5513,Cash,Shares,Standard,--,18D1BCHH,83088M102,SKYWORKS SOLUTIONS INC,--

Disclosure
"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. 
The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security 
or digital asset by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. 
It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. 
For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.
 
Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). 
Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."
