"Closed Positions 
Rollover IRA *5513 
as of 04/30/2026 at 04:52:54 PM"

Symbol,Quantity,Last,Avg Proceeds,$ Total G/L,$ Proceeds,Avg Cost,$ Cost,Account
XLI,100,174.58,173.99,83.14,"17,398.89",173.16,17315.75,Rollover IRA *5513
XLU,500,46.85,46.58,-57.98,"23,290.77",46.70,23348.75,Rollover IRA *5513
SCHD,500,32.07,32.01,106.19,"16,004.69",31.80,15898.5,Rollover IRA *5513
CARR,235,67.17,68.37,426.26,"16,066.06",66.55,15639.8,Rollover IRA *5513
AMPX,1200,21.06,20.80,-395.03,"24,963.22",21.13,25358.25,Rollover IRA *5513
EDSA,15,18.275,17.86,-3.13,267.90,18.07,271.03,Rollover IRA *5513
USAR,200,25.97,23.47,-191.61,"4,693.89",24.43,4885.5,Rollover IRA *5513
Totals,,,,  -32.16,"  102,685.42",,"  102,717.58",

Disclosure
"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. 
The spreadsheet is provided for informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a recommendation for any security 
or digital asset by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was exported and is subject to change. 
It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting purposes. 
For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com.
 
Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National Financial Services LLC (NFS). 
Both are Fidelity Investment companies and members SIPC, NYSE. Neither FBS nor NFS offer crypto as a direct investment nor provide trading or custody services for such assets."
