"Orders 
All Accounts 
as of 04/30/2026 at 04:52:27 PM"

Symbol,Action,Amount,Order Type,Status,Filled,Last,$ Chg,% Chg,Bid,Mid,Ask,TIF,Conditions,Destination,Order Time,Account,Account Type,Quantity Type,Market Session,Trail Amount,Order Number,CUSIP,Security Description,Basket
SCHD,Sell,100,Market,Filled at $32.09,100 / 100,32.07,0.62,1.97,32.07,--,32.09,Day,None,FDLM,3:59:11 PM ET Apr-30-2026,Rollover IRA *5513,Cash,Shares,Standard,--,1601XWDY,808524797,SCHWAB US DIVIDEND EQUITY ETF,--
XLI,Sell,25,Trailing Stop Limit at $0.05 Based on Last,Filled at $174.51,25 / 25,174.58,4.65,2.74,173.46,--,175.61,Day,None,FDLM,3:51:18 PM ET Apr-30-2026,Rollover IRA *5513,Cash,Shares,Standard,$0.05,D30KQNVQ,81369Y704,SELECT SECTOR SPDR TRUST STATE STREET INDUSTRIAL SELECT SECTOR SPDR ETF,--
EDSA,Sell,11,Trailing Stop Limit at $1.00 Based on Last,Filled at $17.72,11 / 11,18.275,2.375,14.94,18.5,--,18.88,Day,None,FDLM,2:48:07 PM ET Apr-30-2026,Health Savings Account *6937,Cash,Shares,Standard,$1.00,D30HCZFL,27966L306,EDESA BIOTECH INC COM NEW ISIN #CA27966L3065,--
EDSA,Sell,15,Trailing Stop Limit at $0.15 Based on Last,Filled at $17.86,15 / 15,18.275,2.375,14.94,18.5,--,18.88,Day,None,FDLM,1:40:32 PM ET Apr-30-2026,Rollover IRA *5513,Cash,Shares,Standard,$0.15,D30GZQSB,27966L306,EDESA BIOTECH INC COM NEW ISIN #CA27966L3065,--
EDSA,Buy,15,Limit at $18.20,Filled at $18.0689,15 / 15,18.275,2.375,14.94,18.5,--,18.88,Day,None,FDLM,1:39:37 PM ET Apr-30-2026,Rollover IRA *5513,Cash,Shares,Standard,--,1601LD37,27966L306,EDESA BIOTECH INC COM NEW ISIN #CA27966L3065,--
CARR,Sell,85,Trailing Stop Limit at $0.50 Based on Last,Filled at $68.54,85 / 85,67.17,5.43,8.79,67.18,--,67.37,Day,None,FDLM,12:28:19 PM ET Apr-30-2026,Rollover IRA *5513,Cash,Shares,Standard,$0.50,D30FZSTV,14448C104,CARRIER GLOBAL CORPORATION COM,--
CARR,Buy,35,Limit at $68.70,Filled at $68.58,35 / 35,67.17,5.43,8.79,67.18,--,67.37,Day,None,FDLM,12:25:48 PM ET Apr-30-2026,Rollover IRA *5513,Cash,Shares,Standard,--,160154NH,14448C104,CARRIER GLOBAL CORPORATION COM,--
SCHD,Sell,400,Market,Filled at $31.9901,400 / 400,32.07,0.62,1.97,32.07,--,32.09,Day,None,FDLM,12:14:59 PM ET Apr-30-2026,Rollover IRA *5513,Cash,Shares,Standard,--,1601BFN7,808524797,SCHWAB US DIVIDEND EQUITY ETF,--
