Account Name,Date&Time,Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
Rollover IRA *5513,,05/14/2026,09:30:00,PCT,Buy,100.0,12.86,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:08:58,XLE,Buy,100,59.13,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:09:51,XLE,Buy,100,59.145,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:13:57,QUCY,Buy,50,3.755,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:14:57,QUCY,Buy,50,3.785,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:28:04,QUCY,Buy,200,4.175,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:29:15,TH,Buy,100,18.74,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:30:51,CRWD,Buy,25,595.0,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:31:12,QUCY,Sell,300,3.8301,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:31:58,HUM,Buy,25,309.14,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:32:43,HUM,Buy,25,309.18,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:35:03,PCT,Buy,100,12.625,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:36:12,PCT,Buy,100,12.66,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:40:13,HUM,Sell,50,307.665,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:49:36,PANW,Buy,25,245.5699,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:52:00,CRWD,Buy,15,596.535,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,13:54:56,PCT,Buy,100,12.825,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,14:02:17,BW,Buy,100,21.44,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,14:03:37,BW,Buy,100,21.6101,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,14:04:14,PANW,Sell,25,244.01,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,14:18:41,CRWD,Sell,40,595.11,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,14:18:49,BW,Sell,200,21.5,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,14:24:12,PCT,Sell,400,12.86,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,15:21:58,TH,Sell,100,18.805,Stock,,,,0,0
Rollover IRA *5513,,05/15/2026,15:29:25,XLE,Sell,200,59.355,Stock,,,,0,0
