Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2937756651,MESU6,08/02/2026 20:15:20 -04:00,08/02/2026 21:19:51 -04:00,7556.25,7549.75,3.6,-162.5,5,Long,08/03/2026 00:00:00 -05:00,04:30.6,2.5
2937603031,MGCZ6,08/02/2026 20:30:24 -04:00,08/02/2026 20:43:58 -04:00,4121.5,4112.6,7.1,445,5,Short,08/03/2026 00:00:00 -05:00,13:33.2,2.5
2937603032,MGCZ6,08/02/2026 20:35:18 -04:00,08/02/2026 20:43:58 -04:00,4120.2,4112.6,7.1,380,5,Short,08/03/2026 00:00:00 -05:00,08:39.9,2.5
2937605852,MGCZ6,08/02/2026 20:44:00 -04:00,08/02/2026 20:44:18 -04:00,4112.5,4113.3,7.1,40,5,Long,08/03/2026 00:00:00 -05:00,00:18.1,2.5
2937605853,MGCZ6,08/02/2026 20:44:00 -04:00,08/02/2026 20:44:18 -04:00,4112.5,4113.3,2.84,16,2,Long,08/03/2026 00:00:00 -05:00,00:18.0,1
2937625549,MGCZ6,08/02/2026 20:44:54 -04:00,08/02/2026 20:48:18 -04:00,4113.9,4116,7.1,-105,5,Short,08/03/2026 00:00:00 -05:00,03:23.3,2.5
2937625551,MGCZ6,08/02/2026 20:47:38 -04:00,08/02/2026 20:48:18 -04:00,4111.8,4116,7.1,-210,5,Short,08/03/2026 00:00:00 -05:00,00:39.2,2.5
2937683527,MGCZ6,08/02/2026 20:50:01 -04:00,08/02/2026 21:02:04 -04:00,4113.4,4118.6,7.1,-260,5,Short,08/03/2026 00:00:00 -05:00,12:02.6,2.5
2937683532,MGCZ6,08/02/2026 20:57:08 -04:00,08/02/2026 21:02:04 -04:00,4113.8,4118.6,7.1,-240,5,Short,08/03/2026 00:00:00 -05:00,04:55.6,2.5
2937751474,MGCZ6,08/02/2026 21:02:16 -04:00,08/02/2026 21:18:39 -04:00,4115.8,4105.5,7.1,515,5,Short,08/03/2026 00:00:00 -05:00,16:22.6,2.5
2937751475,MGCZ6,08/02/2026 21:02:37 -04:00,08/02/2026 21:18:39 -04:00,4112.3,4105.5,7.1,340,5,Short,08/03/2026 00:00:00 -05:00,16:02.3,2.5
2938802564,MGCZ6,08/03/2026 03:22:51 -04:00,08/03/2026 04:39:36 -04:00,4110.3,4116,7.1,-285,5,Short,08/03/2026 00:00:00 -05:00,16:44.9,2.5
2938802566,MGCZ6,08/03/2026 03:34:55 -04:00,08/03/2026 04:39:36 -04:00,4115.1,4116,7.1,-45,5,Short,08/03/2026 00:00:00 -05:00,04:40.2,2.5
2938887040,MGCZ6,08/03/2026 04:40:21 -04:00,08/03/2026 05:30:18 -04:00,4115.1,4107.4,4.26,231,3,Short,08/03/2026 00:00:00 -05:00,49:57.0,1.5
2938887015,MGCZ6,08/03/2026 04:40:21 -04:00,08/03/2026 05:30:18 -04:00,4115.1,4107.4,2.84,154,2,Short,08/03/2026 00:00:00 -05:00,49:57.0,1
2938893535,MGCZ6,08/03/2026 04:40:28 -04:00,08/03/2026 05:33:26 -04:00,4115.3,4103,4.26,369,3,Short,08/03/2026 00:00:00 -05:00,52:58.0,1.5
2938887041,MGCZ6,08/03/2026 04:40:28 -04:00,08/03/2026 05:30:18 -04:00,4115.3,4107.4,2.84,158,2,Short,08/03/2026 00:00:00 -05:00,49:49.9,1
2939143363,MGCZ6,08/03/2026 04:42:09 -04:00,08/03/2026 07:50:59 -04:00,4114.6,4118.6,7.1,-200,5,Short,08/03/2026 00:00:00 -05:00,08:49.5,2.5
2939432068,MGCZ6,08/03/2026 09:11:19 -04:00,08/03/2026 09:18:44 -04:00,4098.1,4092.2,7.1,295,5,Short,08/03/2026 00:00:00 -05:00,07:25.2,2.5
2939432069,MGCZ6,08/03/2026 09:14:28 -04:00,08/03/2026 09:18:44 -04:00,4095.3,4092.2,7.1,155,5,Short,08/03/2026 00:00:00 -05:00,04:15.7,2.5
2939480083,MGCZ6,08/03/2026 09:18:48 -04:00,08/03/2026 09:27:19 -04:00,4091.9,4089.4,7.1,125,5,Short,08/03/2026 00:00:00 -05:00,08:31.0,2.5
2939480084,MGCZ6,08/03/2026 09:18:55 -04:00,08/03/2026 09:27:19 -04:00,4092,4089.4,7.1,130,5,Short,08/03/2026 00:00:00 -05:00,08:23.4,2.5
2939726939,MGCZ6,08/03/2026 09:28:11 -04:00,08/03/2026 09:38:07 -04:00,4088,4077.8,7.1,510,5,Short,08/03/2026 00:00:00 -05:00,09:56.8,2.5
2939726941,MGCZ6,08/03/2026 09:33:44 -04:00,08/03/2026 09:38:07 -04:00,4085.3,4077.8,7.1,375,5,Short,08/03/2026 00:00:00 -05:00,04:23.5,2.5
2940165194,MGCZ6,08/03/2026 09:44:59 -04:00,08/03/2026 10:02:35 -04:00,4086.9,4092,1.42,-51,1,Short,08/03/2026 00:00:00 -05:00,17:36.2,0.5
