Account Name,Date / Time,Symbol,Side,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
TradingView Paper Futures,07/21/2026 02:18:54,/MNK,Sell,0.5,65240.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:21:21,/MES,Sell,25.0,7491.25,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:18,/M2K,Sell,5.0,2959.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:23,/M2K,Sell,5.0,2959.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:24,/M2K,Sell,5.0,2959.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:25,/M2K,Sell,5.0,2959.8,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:26,/M2K,Sell,5.0,2959.8,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:44,/M2K,Sell,5.0,2960.1,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:47,/M2K,Sell,5.0,2960.1,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:49,/M2K,Sell,5.0,2960.3,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:50,/M2K,Sell,5.0,2960.3,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:51,/M2K,Sell,5.0,2960.3,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:22:52,/M2K,Sell,5.0,2960.3,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:36:08,/MES,Buy,25.0,7499.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:36:12,/M2K,Buy,55.0,2963.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:45:59,/MNK,Buy,0.5,65660.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:45:59,/MNK,Buy,0.5,65660.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:57:21,/MNQ,Buy,2.0,28947.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 02:58:49,/MNQ,Buy,2.0,28950.5,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:00:09,/MNQ,Buy,2.0,28956.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:00:46,/MYM,Buy,2.5,52142.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:01:00,/MYM,Buy,2.5,52141.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:01:06,/MYM,Buy,2.5,52141.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:02:20,/M2K,Buy,5.0,2965.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:02:31,/M2K,Buy,125.0,2965.1,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:02:51,/MGC,Buy,20.0,4045.5,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:02:52,/MGC,Buy,20.0,4045.7,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:24:28,/MES,Buy,25.0,7507.5,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:26:16,/MES,Buy,25.0,7507.5,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:32:02,/MGC,Sell,40.0,4049.4,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:39:36,/MYM,Sell,7.5,52161.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:39:44,/M2K,Sell,130.0,2967.7,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:39:52,/MNQ,Sell,6.0,29039.5,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:40:14,/MES,Sell,50.0,7509.75,Future,,,,0,0
TradingView Paper Futures,07/21/2026 03:40:24,/MNK,Sell,0.5,65875.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 13:42:11,/MCL,Buy,100.0,84.75,Future,,,,0,0
TradingView Paper Futures,07/21/2026 13:42:17,/MCL,Buy,100.0,84.75,Future,,,,0,0
TradingView Paper Futures,07/21/2026 13:43:13,/MCL,Buy,100.0,84.76,Future,,,,0,0
TradingView Paper Futures,07/21/2026 13:44:30,/MCL,Buy,100.0,84.91,Future,,,,0,0
TradingView Paper Futures,07/21/2026 13:44:33,/MCL,Buy,100.0,84.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 14:02:28,/MCL,Sell,500.0,84.26,Future,,,,0,0
TradingView Paper Futures,07/21/2026 14:31:29,/MCL,Buy,100.0,84.63,Future,,,,0,0
TradingView Paper Futures,07/21/2026 14:31:39,/MCL,Buy,100.0,84.66,Future,,,,0,0
TradingView Paper Futures,07/21/2026 14:33:30,/MCL,Buy,100.0,84.8,Future,,,,0,0
TradingView Paper Futures,07/21/2026 14:40:38,/MCL,Buy,100.0,84.77,Future,,,,0,0
TradingView Paper Futures,07/21/2026 14:40:40,/MCL,Buy,100.0,84.77,Future,,,,0,0
TradingView Paper Futures,07/21/2026 14:40:41,/MCL,Buy,100.0,84.77,Future,,,,0,0
TradingView Paper Futures,07/21/2026 14:45:23,/MCL,Sell,600.0,84.52,Future,,,,0,0
TradingView Paper Futures,07/21/2026 16:14:51,/MYM,Buy,2.5,52473.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 16:16:03,/MYM,Buy,2.5,52484.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 16:28:43,/MYM,Sell,5.0,52545.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 21:16:36,/M2K,Sell,125.0,2992.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 21:16:48,/M2K,Sell,125.0,2992.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 21:25:24,/M2K,Buy,250.0,2991.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 21:25:30,/M2K,Sell,125.0,2991.7,Future,,,,0,0
TradingView Paper Futures,07/21/2026 21:25:53,/M2K,Sell,125.0,2991.7,Future,,,,0,0
TradingView Paper Futures,07/21/2026 21:26:11,/M2K,Buy,250.0,2992.5,Future,,,,0,0
TradingView Paper Futures,07/21/2026 21:26:26,/M2K,Sell,125.0,2992.3,Future,,,,0,0
TradingView Paper Futures,07/21/2026 21:26:45,/M2K,Buy,125.0,2992.7,Future,,,,0,0
TradingView Paper Futures,07/21/2026 22:31:55,/MGC,Buy,10.0,4129.7,Future,,,,0,0
TradingView Paper Futures,07/21/2026 22:32:24,/MGC,Buy,10.0,4131.9,Future,,,,0,0
TradingView Paper Futures,07/21/2026 22:33:07,/MGC,Buy,10.0,4133.8,Future,,,,0,0
TradingView Paper Futures,07/21/2026 22:33:20,/MGC,Sell,30.0,4133.2,Future,,,,0,0
TradingView Paper Futures,07/21/2026 22:33:24,/MGC,Buy,10.0,4133.1,Future,,,,0,0
TradingView Paper Futures,07/21/2026 22:33:24,/MGC,Buy,10.0,4133.2,Future,,,,0,0
TradingView Paper Futures,07/21/2026 22:34:08,/MGC,Buy,10.0,4133.7,Future,,,,0,0
TradingView Paper Futures,07/21/2026 22:34:10,/MGC,Buy,10.0,4133.4,Future,,,,0,0
TradingView Paper Futures,07/21/2026 23:05:06,/MYM,Buy,2.5,52442.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 23:05:25,/MYM,Buy,2.5,52442.0,Future,,,,0,0
TradingView Paper Futures,07/21/2026 23:06:51,/MGC,Sell,40.0,4141.3,Future,,,,0,0
TradingView Paper Futures,07/21/2026 23:10:07,/MYM,Sell,5.0,52420.0,Future,,,,0,0
TradingView Paper Futures,07/22/2026 00:23:17,/MGC,Buy,20.0,4102.0,Future,,,,0,0
TradingView Paper Futures,07/22/2026 00:27:07,/M2K,Sell,125.0,2994.4,Future,,,,0,0
