Account Name,Date / Time,Symbol,Side,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
TradingView Paper Stocks,07/21/2026 14:12:13,RIOT,Buy,200.0,20.82,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:12:26,RIOT,Buy,200.0,20.79,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:24:29,XNCR,Buy,501.0,20.39,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:39:52,RIOT,Sell,400.0,20.58,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:41:24,XNCR,Sell,501.0,21.12,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:44:50,CORZ,Buy,100.0,23.72,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:45:50,CORZ,Buy,100.0,23.73,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:45:54,CORZ,Buy,100.0,23.74,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:45:57,CORZ,Buy,100.0,23.74,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:46:12,CORZ,Buy,100.0,23.76,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:46:14,CORZ,Buy,100.0,23.75,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:50:43,CORZ,Buy,100.0,23.86,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:50:44,CORZ,Buy,100.0,23.86,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:51:25,CORZ,Buy,100.0,23.83,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:56:59,CORZ,Buy,100.0,23.82,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:57:01,CORZ,Buy,100.0,23.83,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:57:02,CORZ,Buy,100.0,23.83,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:57:04,CORZ,Buy,100.0,23.84,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:57:06,CORZ,Buy,100.0,23.85,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 14:57:08,CORZ,Buy,100.0,23.85,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 15:02:00,CORZ,Sell,1500.0,23.72,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 15:12:05,GTLB,Sell,100.0,32.89,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 15:12:12,GTLB,Sell,100.0,32.9,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 15:12:32,GTLB,Sell,100.0,32.87,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 15:12:34,GTLB,Sell,100.0,32.87,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 15:31:23,GTLB,Buy,400.0,33.02,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:14:32,GTLB,Sell,100.0,32.8,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:14:37,GTLB,Sell,100.0,32.8,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:17:28,GTLB,Sell,100.0,32.71,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:17:40,GTLB,Sell,100.0,32.71,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:22:29,NBIS,Buy,100.0,210.88,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:24:24,NBIS,Buy,100.0,211.1,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:26:42,NBIS,Sell,100.0,209.95,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:31:35,GTLB,Sell,100.0,32.63,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:31:38,GTLB,Sell,100.0,32.63,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:31:39,GTLB,Sell,100.0,32.63,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:37:55,NBIS,Buy,100.0,211.7,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:41:32,GTLB,Sell,100.0,32.68,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:41:34,GTLB,Sell,100.0,32.68,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:42:02,NBIS,Sell,200.0,211.65,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:48:15,GTLB,Sell,100.0,32.54,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 16:48:17,GTLB,Sell,100.0,32.54,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 17:08:02,GTLB,Buy,1100.0,32.56,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 17:13:02,GTLB,Sell,100.0,32.44,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 17:13:12,GTLB,Sell,100.0,32.45,Stock,,,,0,0
TradingView Paper Stocks,07/21/2026 17:13:19,GTLB,Sell,50.0,32.48,Stock,,,,0,0
