Account Name,Date / Time,Symbol,Side,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
TradingView Paper Trading,07/01/2026 14:15:58,PRCH,Buy,100.0,15.81,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:16:07,PRCH,Buy,100.0,15.84,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:16:31,PRCH,Buy,100.0,15.83,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:16:40,PRCH,Buy,100.0,15.83,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:17:28,PRCH,Buy,100.0,15.88,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:17:30,PRCH,Buy,100.0,15.88,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:19:33,MNTN,Buy,100.0,10.48,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:19:39,MNTN,Buy,100.0,10.48,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:19:40,MNTN,Buy,100.0,10.48,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:20:10,MNTN,Buy,100.0,10.48,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:20:15,MNTN,Buy,100.0,10.48,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:21:36,MNTN,Buy,100.0,10.48,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:21:37,MNTN,Buy,100.0,10.48,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:22:04,MNTN,Buy,100.0,10.49,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:22:09,MNTN,Buy,100.0,10.49,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:22:11,MNTN,Buy,100.0,10.49,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:22:12,MNTN,Buy,100.0,10.49,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:22:13,MNTN,Buy,100.0,10.49,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:22:14,MNTN,Buy,100.0,10.49,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:22:15,MNTN,Buy,100.0,10.49,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:22:16,MNTN,Buy,100.0,10.49,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 14:56:45,PRCH,Sell,600.0,15.71,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:01:43,MNTN,Sell,1500.0,10.53,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:02:47,MNTN,Buy,100.0,10.59,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:02:50,MNTN,Buy,100.0,10.59,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:02:58,MNTN,Buy,100.0,10.62,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:03:00,MNTN,Buy,100.0,10.62,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:03:01,MNTN,Buy,100.0,10.62,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:10:13,MNTN,Buy,100.0,10.63,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:16:28,MNTN,Buy,100.0,10.64,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:18:59,HPP,Buy,100.0,16.03,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:19:11,HPP,Buy,100.0,16.03,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:19:12,HPP,Buy,100.0,16.03,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:19:13,HPP,Buy,100.0,16.03,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:19:25,HPP,Buy,100.0,16.03,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:20:15,HPP,Buy,100.0,16.05,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:20:43,HPP,Buy,100.0,16.05,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:20:44,HPP,Buy,100.0,16.05,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:20:45,HPP,Buy,100.0,16.05,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:28:42,MNTN,Sell,700.0,10.68,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:34:57,SDOT,Buy,50.0,73.0,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:35:23,SDOT,Sell,50.0,71.6,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:36:04,SDOT,Buy,50.0,72.8,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:40:36,SDOT,Buy,50.0,74.07,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:41:36,SDOT,Sell,100.0,74.94,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:42:33,SDOT,Buy,50.0,75.73,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:42:48,SDOT,Buy,50.0,76.0,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:42:58,SDOT,Sell,100.0,74.86,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:50:23,HPP,Buy,100.0,16.13,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:50:25,HPP,Buy,100.0,16.13,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:50:26,HPP,Buy,100.0,16.11,Stock,,,,0,0
TradingView Paper Trading,07/01/2026 15:55:08,HPP,Sell,1200.0,16.06,Stock,,,,0,0
