Account Name,Date&Time,Date,Time,Symbol,Buy/Sell,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
Rollover IRA *5513,,05/06/2026,07:10:11,GLXY,Buy,50.0,31.6182,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:10:42,GLXY,Buy,50.0,31.64,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:12:00,BE,Buy,25.0,307.4,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:12:38,GLXY,Buy,100.0,31.58,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:13:42,BE,Buy,25.0,307.0,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:20:32,GLXY,Sell,150.0,31.5607,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:22:14,BE,Sell,45.0,305.4693,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:26:39,BE,Sell,5.0,305.412,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:26:57,GLXY,Sell,50.0,31.54,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:34:44,GLXY,Buy,100.0,31.65,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:36:39,FLEX,Buy,50.0,123.74,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:52:50,FLEX,Sell,50.0,118.5,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,07:53:04,GLXY,Sell,100.0,31.35,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,09:51:13,MP,Buy,100.0,70.2,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,09:53:56,JOBY,Buy,100.0,9.77,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,09:54:58,JOBY,Buy,300.0,9.835,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,09:56:09,QUBT,Buy,250.0,10.04,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,09:56:34,QUBT,Sell,250.0,9.84,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,09:57:31,NVDA,Buy,50.0,204.13,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,09:58:25,NVDA,Buy,50.0,203.89,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,09:59:25,AAPL,Buy,25.0,286.15,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,10:22:46,XLE,Buy,100.0,56.94,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,10:25:44,JOBY,Buy,100.0,10.09,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,10:28:50,CGNX,Buy,50.0,62.11,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,10:30:47,CGNX,Buy,100.0,62.351,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,10:50:41,CGNX,Buy,25.0,62.605,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,11:05:04,CGNX,Sell,175.0,61.555,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,11:06:15,NVDA,Sell,100.0,203.7001,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,11:11:25,AAPL,Sell,25.0,283.99,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,11:33:02,MP,Sell,100.0,72.66,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,11:34:07,NVDA,Buy,50.0,206.7,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,11:56:30,XLE,Sell,100.0,56.905,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,13:32:55,JOBY,Sell,500.0,10.215,Stock,,,,0,0
Rollover IRA *5513,,05/06/2026,15:45:49,NVDA,Sell,50.0,207.34,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,09:49:33,ETHD,Buy,50.0,49.905,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,09:51:33,MUX,Buy,100.0,25.5,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,09:55:23,FTNT,Buy,100.0,110.87,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,10:04:39,MUX,Buy,100.0,25.6,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,10:09:13,XLK,Buy,50.0,170.98,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,10:11:20,XLK,Buy,50.0,170.9256,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,10:29:25,OMDA,Buy,200.0,16.3,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,10:34:21,MUX,Sell,200.0,25.9301,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,10:37:02,ETHD,Sell,50.0,50.05,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,10:38:00,FTNT,Sell,100.0,110.41,Stock,,,,0,0
Rollover IRA *5513,,05/07/2026,10:40:31,MUX,Sell,200.0,25.9301,Stock,,,,0,0
