Account Name,Date / Time,Symbol,Side,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
TradingView Paper Futures,07/23/2026 09:48:09,/MBT,Sell,0.5,64955.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 09:51:45,/MBT,Sell,0.5,64895.0,Future,,,,0,0
TradingView Paper Stocks,07/23/2026 10:06:09,UMAC,Buy,100.0,21.05,Stock,,,,0,0
TradingView Paper Futures,07/23/2026 10:11:11,/MNK,Sell,0.5,65530.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:11:28,/MGC,Sell,10.0,4045.8,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:15:40,/MES,Sell,25.0,7458.75,Future,,,,0,0
TradingView Paper Stocks,07/23/2026 10:18:24,DELL,Buy,25.0,449.4,Stock,,,,0,0
TradingView Paper Stocks,07/23/2026 10:24:38,DELL,Buy,25.0,452.45,Stock,,,,0,0
TradingView Paper Futures,07/23/2026 10:25:33,/MGC,Buy,10.0,4057.2,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:26:39,/MES,Sell,25.0,7450.25,Future,,,,0,0
TradingView Paper Stocks,07/23/2026 10:29:36,UMAC,Buy,100.0,21.14,Stock,,,,0,0
TradingView Paper Stocks,07/23/2026 10:29:38,UMAC,Buy,100.0,21.14,Stock,,,,0,0
TradingView Paper Futures,07/23/2026 10:29:58,/MES,Buy,50.0,7459.25,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:30:39,/MES,Sell,25.0,7454.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:30:41,/MES,Sell,25.0,7455.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:37:10,/MES,Buy,50.0,7453.25,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:37:51,/MBT,Buy,1.0,65255.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:38:18,/MES,Sell,25.0,7458.25,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:43:11,/MES,Sell,25.0,7452.0,Future,,,,0,0
TradingView Paper Stocks,07/23/2026 10:43:18,DELL,Sell,50.0,445.94,Stock,,,,0,0
TradingView Paper Futures,07/23/2026 10:49:09,/MES,Sell,25.0,7449.25,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:49:10,/MES,Sell,25.0,7449.75,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:49:40,/MES,Sell,25.0,7447.75,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:49:41,/MES,Sell,25.0,7447.5,Future,,,,0,0
TradingView Paper Stocks,07/23/2026 10:50:29,UMAC,Sell,300.0,20.47,Stock,,,,0,0
TradingView Paper Futures,07/23/2026 10:51:36,/MES,Buy,150.0,7442.75,Future,,,,0,0
TradingView Paper Futures,07/23/2026 10:52:05,/MES,Sell,25.0,7441.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:01:59,/MES,Sell,25.0,7439.5,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:05:20,/MES,Sell,25.0,7435.75,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:10:17,/MES,Buy,75.0,7432.25,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:10:52,/MES,Sell,25.0,7432.25,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:12:00,/MES,Sell,25.0,7428.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:12:24,/MES,Sell,25.0,7427.25,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:12:26,/MES,Sell,25.0,7427.5,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:15:25,/MES,Buy,100.0,7429.75,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:16:17,/MES,Sell,25.0,7427.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:20:21,/MES,Buy,25.0,7436.25,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:37:29,/MNK,Buy,0.5,65255.0,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:38:39,/MCL,Sell,100.0,92.3,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:38:41,/MCL,Sell,100.0,92.28,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:39:56,/MCL,Sell,100.0,92.27,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:40:13,/MCL,Sell,100.0,92.3,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:40:51,/MCL,Sell,100.0,92.22,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:40:52,/MCL,Sell,100.0,92.22,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:41:09,/MCL,Sell,100.0,92.24,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:41:12,/MCL,Sell,100.0,92.21,Future,,,,0,0
TradingView Paper Futures,07/23/2026 11:41:16,/MCL,Sell,100.0,92.19,Future,,,,0,0
