Account Name,Date / Time,Symbol,Side,Quantity,Price,Spread,Expiration,Strike,Call/Put,Commission,Fees
TradingView Paper Stocks,07/01/2026 10:14:48,ABX,Buy,100.0,11.49,Stock,,,,0,0
TradingView Paper Stocks,07/01/2026 10:14:55,ABX,Buy,100.0,11.49,Stock,,,,0,0
TradingView Paper Stocks,07/01/2026 10:24:28,ABX,Buy,100.0,11.82,Stock,,,,0,0
TradingView Paper Stocks,07/01/2026 10:24:32,ABX,Buy,100.0,11.82,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:14,QQQ,Buy,5.0,709.93,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:19,QQQ,Buy,5.0,709.97,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:24,QQQ,Buy,5.0,709.99,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:25,QQQ,Buy,5.0,710.0,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:26,QQQ,Buy,5.0,709.98,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:27,QQQ,Buy,5.0,709.95,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:33,QQQ,Buy,5.0,710.03,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:37,QQQ,Buy,5.0,709.96,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:46,QQQ,Buy,5.0,709.93,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:39:47,QQQ,Buy,5.0,709.98,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:46:57,GAIN,Buy,100.0,16.18,Stock,,,,0,0
TradingView Paper Stocks,07/08/2026 14:47:06,GAIN,Buy,100.0,16.17,Stock,,,,0,0
TradingView Paper Futures,07/13/2026 10:23:35,CMG,Buy,100.0,36.44,Future,,,,0,0
TradingView Paper Futures,07/13/2026 10:23:38,CMG,Buy,100.0,36.44,Future,,,,0,0
TradingView Paper Futures,07/13/2026 10:23:51,CMG,Buy,100.0,36.44,Future,,,,0,0
TradingView Paper Futures,07/13/2026 10:23:52,CMG,Buy,100.0,36.44,Future,,,,0,0
TradingView Paper Futures,07/13/2026 10:24:34,CMG,Buy,100.0,36.39,Future,,,,0,0
TradingView Paper Futures,07/13/2026 10:24:46,CMG,Buy,100.0,36.42,Future,,,,0,0
